states,flag,Avg0,SD0,frust0,time,turnOffNode
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0_2_0_2',1,0.013333333333333334,0.01247219128924647,0.036585365853658534,304.6666666666667,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_0_3_3_2',1,0.006666666666666667,0.009428090415820633,0.042682926829268296,180.0,None
'2_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_0_0_2_2',1,0.006666666666666667,0.004714045207910317,0.036585365853658534,101.0,None
'2_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_2_0_2_3',1,0.0033333333333333335,0.004714045207910317,0.027439024390243903,152.0,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0_0_0_3',1,0.01,0.008164965809277261,0.024390243902439025,147.0,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0_1_0_3',1,0.0033333333333333335,0.004714045207910317,0.024390243902439025,174.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_0_2_3_2',1,0.006666666666666667,0.004714045207910317,0.042682926829268296,101.0,None
'1_1_1_0_1_2_2_1_2_3_1_1_1_3_2_2_2_2_2_2_2_3',1,0.0033333333333333335,0.004714045207910317,0.08841463414634146,98.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_3_1_3_2',1,0.01,0.008164965809277261,0.036585365853658534,93.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_1_3_3_2',1,0.013333333333333334,0.012472191289246471,0.03048780487804878,165.0,None
'0_2_2_2_2_2_2_2_2_2_2_2_2_1_1_1_1_1_3_2_1_2',1,0.013333333333333334,0.004714045207910317,0.027439024390243903,131.66666666666666,None
'2_1_2_1_1_1_1_2_1_0_1_2_1_2_1_1_2_1_0_3_1_3',1,0.0033333333333333335,0.004714045207910317,0.0975609756097561,62.0,None
'2_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_0_1_2_3',1,0.01,0.01414213562373095,0.03048780487804878,146.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_1_1_3_2',1,0.006666666666666667,0.004714045207910317,0.04878048780487805,165.0,None
'1_2_1_2_2_2_2_1_2_2_2_1_1_1_2_2_2_2_2_1_2_1',1,0.0033333333333333335,0.004714045207910317,0.08231707317073171,100.0,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_3_0_0_1',1,0.006666666666666667,0.004714045207910317,0.042682926829268296,231.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_2_3_3_0',1,0.01,0.0,0.024390243902439025,113.33333333333333,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_3_1_0_2',1,0.006666666666666667,0.004714045207910317,0.042682926829268296,177.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_3_3_3_3',1,0.01,0.008164965809277261,0.024390243902439025,185.0,None
'1_2_1_2_2_2_2_1_2_3_2_1_1_1_2_2_2_2_1_1_2_3',1,0.0033333333333333335,0.004714045207910317,0.09146341463414634,118.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_1_1_3_1',1,0.0033333333333333335,0.004714045207910317,0.04878048780487805,270.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_2_3_3_1',1,0.01,0.008164965809277261,0.018292682926829267,129.5,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_3_2_3_2',1,0.013333333333333334,0.012472191289246471,0.018292682926829267,175.0,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0_1_0_1',1,0.01,0.0,0.018292682926829267,226.0,None
